algorithm,n,z,target,seed,elapsed_ms,operations,iterations,nodes_count,mismatch
TwoWays BFS,260,10,0,302,1.348000,10840,10840,24,no
LCA,260,10,0,302,0.196500,2363,2363,24,no
Binary Lifting,260,10,0,302,0.284100,3376,3376,24,no
Basic BFS,260,20,0,302,0.080600,778,778,0,no
TwoWays BFS,260,20,0,302,1.202700,10840,10840,0,no
LCA,260,20,0,302,0.193000,2363,2363,0,no
Binary Lifting,260,20,0,302,0.280300,3376,3376,0,no
Basic BFS,270,1,0,312,0.002400,5,5,2,no
TwoWays BFS,270,1,0,312,1.342100,11812,11812,2,no
LCA,270,1,0,312,0.196200,2541,2541,2,no
Binary Lifting,270,1,0,312,0.292400,3502,3502,2,no
Basic BFS,270,5,0,312,0.030500,149,149,29,no
TwoWays BFS,270,5,0,312,1.384500,11812,11812,29,no
LCA,270,5,0,312,0.206500,2541,2541,29,no
Binary Lifting,270,5,0,312,0.295700,3502,3502,29,no
Basic BFS,270,10,0,312,0.070600,697,697,21,no
TwoWays BFS,270,10,0,312,1.341200,11812,11812,21,no
LCA,270,10,0,312,0.206900,2541,2541,21,no
Binary Lifting,270,10,0,312,0.304500,3502,3502,21,no
Basic BFS,270,20,0,312,0.078200,808,808,0,no
TwoWays BFS,270,20,0,312,1.343400,11812,11812,0,no
LCA,270,20,0,312,0.202600,2541,2541,0,no
Binary Lifting,270,20,0,312,0.294700,3502,3502,0,no
Basic BFS,280,1,0,322,0.002900,5,5,2,no
TwoWays BFS,280,1,0,322,2.025200,14607,14607,2,no
LCA,280,1,0,322,0.212500,2826,2826,2,no
Binary Lifting,280,1,0,322,0.309600,3647,3647,2,no
Basic BFS,280,5,0,322,0.021300,92,92,14,no
TwoWays BFS,280,5,0,322,1.588700,14607,14607,14,no
LCA,280,5,0,322,0.222500,2826,2826,14,no
Binary Lifting,280,5,0,322,0.309200,3647,3647,14,no
Basic BFS,280,10,0,322,0.070800,680,680,32,no
TwoWays BFS,280,10,0,322,1.596900,14607,14607,32,no
LCA,280,10,0,322,0.228300,2826,2826,32,no
Binary Lifting,280,10,0,322,0.306500,3647,3647,32,no
Basic BFS,280,20,0,322,0.093800,838,838,0,no
TwoWays BFS,280,20,0,322,1.909000,14607,14607,0,no
LCA,280,20,0,322,0.223900,2826,2826,0,no
Binary Lifting,280,20,0,322,0.305000,3647,3647,0,no
Basic BFS,290,1,0,332,0.002400,5,5,2,no
TwoWays BFS,290,1,0,332,1.970900,18587,18587,2,no
LCA,290,1,0,332,0.235200,3079,3079,2,no
Binary Lifting,290,1,0,332,0.319900,3793,3793,2,no
Basic BFS,290,5,0,332,0.029400,117,117,19,no
TwoWays BFS,290,5,0,332,2.389300,18587,18587,19,no
LCA,290,5,0,332,0.237700,3079,3079,19,no
Binary Lifting,290,5,0,332,0.312500,3793,3793,19,no
Basic BFS,290,10,0,332,0.067100,616,616,33,no
TwoWays BFS,290,10,0,332,1.963900,18587,18587,33,no
LCA,290,10,0,332,0.245900,3079,3079,33,no
Binary Lifting,290,10,0,332,0.321400,3793,3793,33,no
Basic BFS,290,20,0,332,0.088700,868,868,0,no
TwoWays BFS,290,20,0,332,2.007700,18587,18587,0,no
LCA,290,20,0,332,0.240700,3079,3079,0,no
Binary Lifting,290,20,0,332,0.324800,3793,3793,0,no
Basic BFS,300,1,0,342,0.003700,5,5,2,no
TwoWays BFS,300,1,0,342,1.737600,13696,13696,2,no
LCA,300,1,0,342,0.229300,2795,2795,2,no
Binary Lifting,300,1,0,342,0.343900,3896,3896,2,no
Basic BFS,300,5,0,342,0.028700,153,153,31,no
TwoWays BFS,300,5,0,342,1.552400,13696,13696,31,no
LCA,300,5,0,342,0.234800,2795,2795,31,no
Binary Lifting,300,5,0,342,0.333300,3896,3896,31,no
Basic BFS,300,10,0,342,0.072400,812,812,26,no
TwoWays BFS,300,10,0,342,1.536700,13696,13696,26,no
